brand,review_count,average_rating,bad_review_rate
Clorox,10700,4.825420560747664,0.011962616822429906
Universal Home Video,6178,4.663807057300097,0.05131110391712528
Tide,5384,4.168090638930163,0.19836552748885586
FOX,4498,4.10760337927968,0.2334370831480658
Disney,3692,4.722914409534128,0.03277356446370531
Olay,3420,4.193567251461988,0.20818713450292398
Warner Home Video,3330,4.3495495495495495,0.13333333333333333
L'Oreal Paris,2683,4.352217666790906,0.14908684308609765
L'oreal Paris,2288,4.495629370629371,0.10576923076923077
Sony Pictures,2161,4.3572420175844515,0.14854234150856085
Rubbermaid,1939,2.8014440433212995,0.6199071686436307
Warner Bros.,1920,4.538541666666666,0.07864583333333333
Quilted Northern,1439,4.826268241834607,0.03127171646977067
Lionsgate,1351,4.74019245003701,0.03923019985196151
Burt's Bees,965,4.6300518134715025,0.07461139896373056
Summit Entertainment,821,4.5785627283800245,0.058465286236297195
Nexxus,773,1.5498059508408797,0.8783958602846055
Maybelline,742,3.6132075471698113,0.3638814016172507
Pantene,655,4.23969465648855,0.17099236641221374
Foodsaver,587,4.310051107325383,0.1890971039182283
Head & Shoulders,565,4.307964601769911,0.15752212389380532
Kiss,562,4.411032028469751,0.09430604982206406
Aveeno,442,3.8076923076923075,0.3031674208144796
Lundberg,426,4.772300469483568,0.046948356807511735
Lemi Shine,423,4.794326241134752,0.037825059101654845
