class,precision,recall,f1-score,support
Good Review,0.9441164577436312,0.9551628211422026,0.9496075161670802,12222.0
Bad Review,0.7016875340228633,0.651010101010101,0.675399528425465,1980.0
accuracy,0.9127587663709337,0.9127587663709337,0.9127587663709337,0.9127587663709337
macro avg,0.8229019958832473,0.8030864610761519,0.8125035222962727,14202.0
weighted avg,0.9103177484796457,0.9127587663709337,0.9113782656581098,14202.0
